ID,Título,Artista,YouTube ID,Vistas
"e8057453-39cf-4256-9b58-e466af5af14e","Para Dormir Plim Plim Canciones Infantiles Para Dormir","Canción de La Familia Dedo","RYGty5Z2GCc",15343766
"1b045bc6-f738-4f3c-9450-7791dac93d34","Me Voy a Dormir","Emilsen Pacheco -","xnvdizOYE0Y",13724
"a2821edf-cf26-47e3-9bfa-5188c3718333","Plim Plim","La Lechuza Canciones Infantiles Para Dormir","CoqTMFENkbo",642779954
"5d12c801-c088-407f-9f4a-359d16ad84ac","ARRORRÓ MI NIÑO y más canciones de LEONCITO ALADO para DORMIR","Leoncito Alado","URtVt65LNCc",15110293
"827696ef-e2d5-444d-a75d-27a823714da1","el judas no me pienso ir a dormir ft el pepo","La Piel De Judas","FeWwrJ76Ou4",1332513
"477464ce-6aa0-4c0e-81af-7bbae903fe48","Plim Plim","A Dormir, A Descansar Canciones Infantiles","YXxWyeJ_Qjw",11436962
"4cc12c26-6ec2-46d6-8319-cfc9ae02ec3c","Me voy a dormir","Junkie Ranks -","MTeibQ5fK44",2560
"2b925a13-bf25-4935-90fc-5d8679c0272c","A Dormir Me Voy","Diego Topa -","6NELM13u2FU",499669
"bd37cfd0-773f-441f-89ee-d484bc18bc98","Ice Cube - Hello","01","jK5FOyMhDOY",11402673
"a6418423-bcf2-4fe1-b9b0-f190fac1f1e5","Hello? (feat. Rejjie Snow)","Clairo","QVmgFNiByR4",4611868
"15efc722-d88f-409a-b62c-1a9eea2fea4f","Hello?","Clairo -","J1pgIW-xLHo",2290106
"d9412c84-4af1-4eef-a469-c22239b2d2d8","Hello (Official Short Video Version )","Martin Solveig & Dragonette","kK42LZqO0wA",131825757
"56f532d1-c06f-4181-a2ed-546c058a9391","Camionero de mi patria","Daniel Albarracín","zIMsNCV2e2I",321687
"b76d49f7-b943-40bb-96fe-09ced5b93315","Camionero (Caminhoneiro) [Gentle On My Mind] ()","Roberto Carlos","8h7OMWtdVYU",555177
"e4a66cd5-b57d-4e74-91d6-0b827b327317","Camionero Enamorado","Los Roller's","gR8Heb8vfzg",1118356
"2c55bed6-f1d6-4dbc-9ff6-b6462e82f18f","jorge ratoski camionero","josi93josi","C0Pqu8IVHuo",519281
"b9715ca3-d487-48e0-9353-7563edd8766d","por Juan Jose Martinez","Franco/GCAC","ECCDKD4SEMc",776983
"fcb9bf50-f590-4b62-a017-5697dae16d5f","El Camionero","El Gato Negro","ifYxETlUj68",818893
"d564a055-bc24-4e52-a1f6-f3e41b5fd691","El camionero","luis159216","Yo-bzZFYgys",664981
